Name,NScore,Designation,DScore
Altostratus helps,0.0478806272149086,None,0.029418237507343292
’,0.028396718204021454,None,0.03748208284378052
“,0.06849002838134766,None,0.07511240988969803
"Jose Luis Rosell,",0.06730049103498459,CIO of,0.12165697664022446
”,0.02495723031461239,None,0.018189972266554832
’,0.0234393198043108,None,0.011133326217532158
’,0.16071467101573944,None,0.08223330229520798
’,0.19993187487125397,’,0.1267108917236328
Jose Luis of,0.025287587195634842,None,0.033604539930820465
“,0.09103590250015259,None,0.07148343324661255
” says Jose Luis of,0.06809302419424057,None,0.04754350334405899
“,0.06963558495044708,None,0.0744825154542923
”,0.07122066617012024,None,0.045541912317276
Altostratus helps,0.0478806272149086,None,0.029418237507343292
