Name,NScore,Designation,DScore
Acciona,0.3819173574447632,Spanish multinational company,0.7017686367034912
Altostratus,0.884013831615448,Cloud expert,0.9879884123802185
automated every 15 seconds,0.16818809509277344,IoT data ingestion,0.6335883140563965
Acciona,0.7121845483779907,Spanish carbon-neutral multinational,0.628042459487915
anyone with a valid driver’s license for motorbikes,0.09618952870368958,None,0.09084975719451904
Google Cloud.”,0.28420910239219666,None,0.09259733557701111
Jose Luis Rosell,0.974245548248291,CIO of Acciona’s Services Division,0.9036799669265747
Jose Luis,0.9969685077667236,external support,0.5497561693191528
Jose Luis,0.9978434443473816,None,0.057147640734910965
Acciona,0.1510271430015564,None,0.036319807171821594
Acciona,0.47253113985061646,None,0.056875623762607574
Jose Luis,0.9904966354370117,CIO,0.9863645434379578
”,0.07452783733606339,None,0.03909457102417946
Acciona Mobility,0.3248752951622009,Google Cloud,0.6276164054870605
Jose Luis,0.9980351328849792,None,0.013765114359557629
”,0.043445926159620285,Google Cloud,0.5467729568481445
Acciona,0.5620455145835876,None,0.07627588510513306
Google Cloud,0.04894471913576126,enables us to keep our services always available,0.23070885241031647
Acciona,0.3819173574447632,Spanish multinational company,0.7017686367034912
Altostratus,0.884013831615448,Cloud expert,0.9879884123802185
