Name,NScore,Designation,DScore
Acciona,0.7268185019493103,Spanish multinational company,0.9168055057525635
Altostratus,0.7536604404449463,Cloud expert,0.9294119477272034
IoT,0.3563902974128723,data ingestion,0.4232517182826996
Acciona,0.8102441430091858,Spanish carbon-neutral multinational,0.9165679812431335
Acciona Mobility,0.040901895612478256,users to rent electric scooters powered 100% by energy from renewable sources,0.24479500949382782
Google Cloud,0.8857610821723938,serverless architecture,0.19464239478111267
Jose Luis Rosell,0.9923821687698364,CIO of Acciona’s Services Division,0.8855581283569336
Jose Luis,0.9948251843452454,Google Cloud,0.38041985034942627
Jose Luis,0.9957587718963623,Acciona was already a Google Cloud customer,0.44082728028297424
Altostratus,0.9418128132820129,cloud consultancy,0.849575936794281
Pub/Sub and Dataflow,0.5005218386650085,Acciona,0.9597779512405396
Jose Luis,0.9971213936805725,None,0.09404989331960678
BigQuery,0.8397635221481323,Cloud SQL,0.4965042173862457
Google Cloud,0.2894464135169983,Acciona Mobility,0.9670751690864563
Jose Luis,0.9902179837226868,fast-growing scale of the project,0.32444581389427185
Google,0.6614418029785156,Google Cloud,0.6380269527435303
Google,0.43926531076431274,Acciona,0.4993450343608856
Google,0.5731393098831177,Google Cloud,0.6338399052619934
Acciona,0.7268185019493103,Spanish multinational company,0.9168055057525635
Altostratus,0.7536604404449463,Cloud expert,0.9294119477272034
